Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Target 4,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev,Ch3 Mean,Ch3 StdDev,Ch4 Mean,Ch4 StdDev,Ch5 Mean,Ch5 StdDev,Ch6 Mean,Ch6 StdDev,Cluster ID
A11,0,0,0,0,13758,523.361282046962,47.0184956454605,1039.82296489855,92.3228109905374,134.128285163883,21.7520557503781,66.2756865682412,27.4558478670851,9.6811489866026,33.5419030005041,276.098187184434,36.0121270603411,1,
A11,1,0,0,0,14,5486.05754743304,378.158965324654,1079.41367449079,93.0681798405086,137.625608716692,20.9945009275236,84.2286041804722,25.8066168141914,7.55098864010402,27.7394817056881,277.867563520159,30.3921301121806,2,
A11,0,1,0,0,143,786.357226818592,82.9289189129234,5650.79886227054,475.178049980086,131.837015325373,21.0167010976967,67.295118305233,27.6237572660204,-6.37776183915305,35.2037725471747,280.022048096557,33.4175238208076,3,
A11,1,1,0,0,5,6014.43349609375,74.0205860375023,5887.59248046875,138.452344589608,132.230316162109,27.0490413756278,66.2547058105469,28.9076128335424,-22.7121284484863,42.819614043246,271.510134887695,57.1570393868692,4,
A11,0,0,1,0,42,524.372132800874,52.6649609098495,1008.03091430664,83.7931634685829,867.446007138207,198.759831714577,43.9272847232364,44.3722436420232,7.91872588083858,37.3122494410959,265.595963614328,31.998934554175,5,
A11,1,0,1,0,43,5586.11876589753,342.652038526799,1193.24084330714,133.712814966056,713.346946538881,157.469316436424,53.9941076677899,49.8525569186586,2.33608011450878,35.4848257473711,279.626512749251,34.3678616059874,6,
A11,1,1,1,0,6,5493.0537109375,417.04022110461,5174.38102213542,521.022499147775,477.770935058594,77.0045472044508,35.0437711079915,46.1298262189643,-3.969380458196,28.640311957214,391.896713256836,51.5519198353269,7,
A11,0,0,0,1,55,511.492737926136,51.4536930467035,1016.90639537464,61.4628986821019,101.08657691262,37.3708269443108,47.9433558377353,42.5600972686147,-250.424387359619,75.4627073565429,2927.06936479048,472.126814206261,8,
A11,1,0,0,1,12,5665.51883951823,535.33076104978,1194.7244720459,191.980484890417,105.655919710795,29.730214767248,48.9762544631958,51.5127376915095,-261.183955510457,76.1431402524351,3140.62515258789,779.912354447832,9,
A11,0,1,0,1,17,824.833531996783,78.2020244421985,5702.52303538603,648.734069324495,114.623747432933,25.3392155905079,53.6972639981438,39.2178351652769,-255.189642064712,88.6825467183807,2631.57059972426,761.97699645274,10,
A11,1,1,0,1,7,5758.60372488839,354.408989617562,5542.85337611607,485.663550140751,117.497701372419,21.1009685441552,73.4780524117606,20.5305943430434,-169.637728009905,70.5488968329345,1768.90134974888,435.873351515868,11,
A11,0,0,1,1,1,430.806182861328,0,1010.27447509766,0,658.92431640625,0,50.4216537475586,0,-278.430847167969,0,2028.28466796875,0,12,
A11,1,0,1,1,73,5447.7098338506,406.999168242604,1211.80048694349,113.011279822751,614.184114639073,111.515421462713,49.1562179122886,40.7163116378516,-145.733706813969,71.4291120346022,1821.71737796313,529.780359207748,13,
A11,1,1,1,1,211,5639.25249463122,423.735686570878,5389.19405592787,465.78771957579,526.303397951533,116.042525599012,53.2978653308905,40.7665745343128,-128.003127938763,66.8575387620686,1423.74774632748,511.594019682882,14,
A12,0,0,0,0,15915,665.763986304808,62.5694076525396,737.59966738812,78.1480614519791,255.845340004171,39.7842355919718,144.92447984583,46.6532731749807,-1.16959076377969,65.0724275821441,610.92428241218,70.2948388948254,1,
