Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Target 4,Target 5,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev,Ch3 Mean,Ch3 StdDev,Ch4 Mean,Ch4 StdDev,Ch5 Mean,Ch5 StdDev,Ch6 Mean,Ch6 StdDev,Cluster ID
A11,0,0,0,0,,13996,988.031153031028,86.5950603309761,591.104628219234,69.016673206685,748.002504682909,66.4571019597494,306.737895555652,50.7295370681913,-12.4187315267642,42.5092631041742,684.174459524446,67.2220326841455,1,
A11,1,0,0,0,,25,8869.98283203125,844.190636389878,617.357659912109,145.356305430237,754.157250976563,84.615552463803,314.138036499023,60.1756207035577,-10.2302754020691,47.6853876453336,695.036369628906,64.4835897579679,2,
A11,0,1,0,0,,168,1134.18744514102,151.284699837436,1766.41646539597,213.785189207993,734.091440836589,64.240761381641,303.513381776356,49.4649874694115,-19.2530419375925,42.372124480816,700.276881808326,107.706758373652,3,
A11,1,1,0,0,,30,3227.16461588542,902.856670114972,1685.89680989583,141.188454360002,760.981524658203,87.8054662576169,286.473692830404,46.1032404691173,-66.0312076886495,55.0176635104545,1001.04997151693,197.515528606155,4,
A11,0,0,1,0,,45,1000.69587537977,88.4967741180326,592.246026611328,67.7853421670429,3351.73351779514,670.307599736787,229.475223117405,60.733541161988,-5.80751383271482,37.5372819641101,679.924717881944,64.7241094079887,5,
A11,1,0,1,0,,40,8065.19454345703,952.656950995042,602.76410446167,91.7522231693077,1703.76116790771,468.211413447095,262.133958244324,60.3227509381403,-8.77456611096859,39.1784642650229,670.690540313721,81.7769129289248,6,
A11,1,1,1,0,,18,5690.53607855903,768.243774097278,1731.53089057075,136.107897756324,897.228318956163,150.907401157881,298.074736701118,56.6064730222332,-48.8068496121301,56.4298363281732,944.364152696398,217.519207900308,7,
A11,0,0,0,1,,53,999.251042204083,88.1991566569385,559.55113249005,60.9482223593511,693.354170889225,75.0702161685831,267.165195681014,60.2799810700078,-615.999123483334,198.914885789088,6819.3626824145,1866.88528997251,8,
A11,1,0,0,1,,18,8107.32279459635,1852.59822709006,606.853357950846,117.988226728285,749.12835015191,91.2933424969686,306.208733876546,75.2124890159529,-488.757495456272,184.800752366988,5450.25922987196,1862.27815972496,9,
A11,0,1,0,1,,10,1264.98588256836,268.054031590049,1830.40681152344,166.881346191467,792.152124023438,89.645002622834,304.439581298828,29.9182368699372,-160.416903972626,83.6254705225199,2005.67227783203,512.033519986759,10,
A11,1,1,0,1,,32,5032.14073944092,2088.51938836143,1863.88312530518,195.449920935647,837.438098907471,138.146263808893,307.643684387207,57.9380477568949,-221.060543119907,124.361427396881,2327.42116928101,892.309369029545,11,
A11,0,0,1,1,,1,969.265441894531,0,487.783935546875,0,2294.88403320313,0,106.722312927246,0,-304.680969238281,0,3384.203125,0,12,
A11,1,0,1,1,,83,7878.81392660486,1268.95551810472,589.874206175287,108.954554052027,1634.64699839397,445.108699811543,251.233706554735,69.8934459298096,-358.958796121988,139.002739461093,4053.57120817253,1292.75543694446,13,
A11,1,1,1,1,,66,6365.77766187263,1355.42706979847,1842.5796360825,200.788805428781,970.095741965554,188.891904672914,298.201723503344,52.7904393548928,-196.922632072911,90.2457280937168,2419.40878758286,952.580201655568,14,
A12,0,0,0,0,0,15729,798.333315708457,68.7413744323777,627.576758670461,68.4965898815582,146.401557459744,35.538288581235,81.9979675855452,44.993404810403,350.250105316106,107.84834445737,392.643684330456,61.9209526681045,1,
A12,1,0,0,0,0,32,7329.59959411621,566.610668341659,613.056297302246,95.2818318321534,138.497433900833,28.4531854786202,81.3675359450281,42.4510102437368,316.45278263092,64.3266949929616,396.518201351166,73.6006042933986,2,
A12,0,1,0,0,0,148,883.98014831543,79.2786956625423,1867.90698077228,174.099304849735,146.335858396582,35.4875982779897,81.5879240680385,47.706263966494,328.831984855033,83.6774275486836,384.777752953607,57.1993390656717,3,
A12,1,1,0,0,0,1,8012.84033203125,0,1834.513671875,0,105.828666687012,0,112.839004516602,0,300.878875732422,0,418.691680908203,0,4,
A12,0,0,1,0,0,13,777.839702899639,64.0989407727609,611.076669546274,57.4006183611131,870.287374643179,203.306122727835,112.345792330228,57.280066681388,394.39675785945,201.113725443102,375.035055307242,59.294043407855,5,
A12,1,0,1,0,0,6,6974.80729166667,669.395209555533,705.175079345703,88.2168331711757,729.605967203776,153.10539575613,111.920204162598,61.7054601678545,547.134882609049,310.589728771675,323.317545572917,124.208725948942,6,
A12,1,1,1,0,0,2,5550.92822265625,1028.5607003702,1455.18395996094,229.665382286733,331.48698425293,149.688838882834,113.708583831787,69.700497058749,966.973937988281,937.991387507004,504.267272949219,130.972109947014,7,
