Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Target 4,Target 5,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev,Ch3 Mean,Ch3 StdDev,Ch4 Mean,Ch4 StdDev,Ch5 Mean,Ch5 StdDev,Ch6 Mean,Ch6 StdDev,Cluster ID
A01,0,0,0,0,0,11451,541.748710061336,91.6341556262176,663.665501724548,112.07019868363,314.372935346324,52.2968609811431,141.464542047518,42.2959940004445,322.233823052515,106.757984659071,360.951792525679,69.9283386295167,1,
A01,1,0,0,0,0,17,3796.25757553998,1064.7455528278,672.25637996898,102.268663527847,308.108656041762,51.5176186683263,140.73612280453,58.189054086179,337.675946403952,164.485546555624,375.871165556066,111.526815500279,2,
A01,0,1,0,0,0,77,552.920148180677,73.2858231292615,1641.16204913251,274.019149939911,300.679606846401,43.1103984096232,132.68421995485,40.7766927986312,284.001544704685,64.0637257217447,337.339743279791,54.1153737410029,3,
A01,0,0,1,0,0,9,509.545203314887,87.706785977827,710.862365722656,144.35236834127,1176.5589328342,340.957655020155,155.836602952745,64.6593249696845,330.841311984592,86.3724697676097,293.238645765516,44.9671601180063,4,
A01,1,0,1,0,0,2,4355.47802734375,1082.56529024935,687.093170166016,21.2274025402724,1273.54998779297,14.5482559124862,114.195785522461,6.67271603022779,282.074844360352,78.746831885568,312.895660400391,74.9361417733697,5,
A01,1,1,1,0,0,1,3667.00268554688,0,1644.67578125,0,743.647399902344,0,244.968383789063,0,332.463745117188,0,280.270446777344,0,6,
A01,0,0,0,1,0,7,657.973406110491,257.407728063964,602.754468645368,163.099779560651,299.688517979213,89.2914184259361,116.079457146781,51.9303379951232,1826.5580531529,688.478246507245,543.185054234096,110.885630775262,7,
A01,1,1,0,1,0,5,1895.75461425781,378.704579453084,1422.50510253906,195.369144111641,342.767065429687,44.43384780858,84.9448661804199,29.3047541569904,1405.62252197266,403.559128504316,633.082208251953,124.555671619228,8,
A01,0,0,1,1,0,15,536.040431722005,84.8310678013139,622.816099039714,86.8471310478636,916.132690429688,184.301706127495,140.879614766439,38.9381965839869,2550.64073893229,484.328938557082,580.295182291667,83.2546466801104,9,
A01,1,0,1,1,0,11,4271.0810324929,646.416540790692,689.09169699929,87.3789150433946,934.807894620028,215.999212486521,111.570873477242,51.9215733330302,2500.16243119673,405.535731663581,555.072282270952,112.427291555651,10,
A01,0,0,0,0,1,22,508.835001165217,48.1703344121803,616.041284734553,80.1016906617312,272.439403187145,30.1950291606224,132.68680156361,42.6871120357919,85.3349701708013,96.9995812806666,2240.18420132724,698.399328065281,11,
A01,1,0,0,0,1,8,4056.47122192383,735.995902425934,721.001960754395,139.589590265487,281.244968414307,41.0193247011832,153.927917480469,56.9051664274293,116.867135047913,49.6488969297242,2122.47648620605,687.28523293926,12,
A01,0,1,0,0,1,3,600.886108398438,62.8659670060249,1626.95943196615,390.018722910635,322.559763590495,26.8746977726259,162.73565419515,44.5375506694631,250.085444132487,125.37932496937,1574.92443847656,521.35626887437,13,
A01,1,1,0,0,1,2,4732.93090820313,113.711954516545,2163.93505859375,67.1002212774107,347.726867675781,42.5099183227063,104.979732513428,44.4730686244751,138.250822067261,180.623792193754,1943.03088378906,900.719557741783,14,
A01,1,0,1,0,1,1,3653.31860351563,0,569.884399414063,0,736.794250488281,0,97.985954284668,0,579.915893554688,0,1404.8828125,0,15,
A01,1,1,1,0,1,1,3052.4228515625,0,1381.798828125,0,616.481872558594,0,95.9556655883789,0,608.774536132813,0,604.379028320313,0,16,
A01,0,0,0,1,1,2,541.72509765625,37.0084773739373,483.9658203125,15.164686952262,136.553199768066,14.3921844465764,80.5904846191406,42.305692902261,1861.07446289063,334.330996581663,1232.33209228516,39.7914155736731,17,
A01,1,0,0,1,1,2,2690.39208984375,1068.23809152273,608.529510498047,78.7346396452308,265.820152282715,201.484140864918,133.942321777344,57.4800257508606,1551.00024414063,108.27451743475,1296.5617980957,496.97638900616,18,
A01,1,1,0,1,1,5,3552.21801757813,648.909473602951,1661.25258789062,282.601890233146,363.897216796875,39.5306543065859,157.440769958496,59.453189090917,1724.24462890625,205.465619576924,941.291186523438,191.137609071157,19,
A01,0,0,1,1,1,1,630.495178222656,0,688.527099609375,0,1292.64794921875,0,73.1429214477539,0,3115.60913085938,0,958.131286621094,0,20,
A01,1,0,1,1,1,22,4387.18048650568,857.557665278903,663.65784107555,132.759573017542,918.880482066761,214.939533147996,114.225134676153,53.2549811717658,2254.31699995561,395.787452605395,1586.40286809748,588.415030415162,21,
A01,1,1,1,1,1,60,3970.714453125,1050.4388124032,1697.2295694987,267.855542799649,695.404643249512,187.326449086864,121.619833087921,41.7335361093398,2000.86843465169,455.385643221917,1366.98800252279,491.22593887746,22,
A02,0,0,0,0,0,12026,627.13379058508,78.7087468526294,726.842257714283,94.0643435290313,341.124348221574,45.1378397446358,171.671722619482,41.2683433222744,328.432467223522,105.773747123821,393.938626531553,60.0223382639467,1,
A02,1,0,0,0,0,5,4596.7728515625,287.813918049412,704.78740234375,52.6785065023831,321.357916259766,9.52289156859878,119.92533416748,19.9184282384332,222.227514648438,31.2782237505814,397.559008789062,31.0373815814007,2,
A02,0,1,0,0,0,18,678.760301378038,88.2840191527669,1914.18051486545,332.513448838587,358.118097941081,58.2001340620625,177.14035627577,53.7611329174659,307.147893269857,58.4859878922392,419.642225477431,88.357665347414,3,
A02,1,1,0,0,0,1,4627.81787109375,0,1676.83471679688,0,296.197845458984,0,156.769668579102,0,232.24006652832,0,354.4775390625,0,4,
A02,0,0,1,0,0,1,503.137908935547,0,593.77783203125,0,653.636108398438,0,193.329116821289,0,226.871627807617,0,310.249450683594,0,5,
