Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Target 4,Target 5,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev,Ch3 Mean,Ch3 StdDev,Ch4 Mean,Ch4 StdDev,Ch5 Mean,Ch5 StdDev,Ch6 Mean,Ch6 StdDev,Cluster ID
A01,0,0,0,0,0,6341,614.172775805175,124.128603263019,698.955250945646,139.705146750883,303.632152209051,65.333597568234,141.657060111139,45.1013439453274,317.709150187094,127.634013107524,376.065307087786,80.8391886388299,1,
A01,0,1,0,0,0,2,801.222473144531,65.7384882964538,2230.43310546875,126.257920877861,353.181900024414,12.4669218013954,194.820449829102,17.6593703795646,344.900054931641,17.1054758220849,400.729110717773,80.4562487184072,2,
A01,0,0,0,1,0,1,894.154235839844,0,688.353576660156,0,397.619445800781,0,223.722396850586,0,2040.9169921875,0,626.9287109375,0,3,
A01,1,0,1,1,0,1,4436.96435546875,0,439.941680908203,0,887.886596679688,0,132.731231689453,0,2193.92553710938,0,484.762390136719,0,4,
A01,0,0,0,0,1,1,545.778076171875,0,487.821685791016,0,305.611724853516,0,100.016120910645,0,44.3093872070313,0,3521.74487304688,0,5,
A01,1,0,1,1,1,1,4748.0810546875,0,674.585632324219,0,761.218139648438,0,130.498748779297,0,2069.49096679688,0,1803.8681640625,0,6,
A01,1,1,1,1,1,2,5592.19482421875,1374.48921491087,2024.17749023438,174.634658934097,773.37809753418,390.653989514113,175.332143783569,160.393358856491,2240.61303710938,523.401268075042,2022.68121337891,1569.97066269485,7,
A02,0,0,0,0,0,10922,577.369731819951,99.5863293450223,633.069981492411,107.286086076857,276.447845776119,49.7604902026142,138.048397295107,41.0728191471262,267.977817264369,98.1947688211852,365.273673504094,69.5290611620565,1,
A02,0,1,0,0,0,7,672.611689976284,101.539355724706,1791.84130859375,377.169922107681,282.381576538086,59.0350433233959,155.072322300502,51.4216798636501,287.386845179967,125.939165224208,412.481362479074,65.6681155705235,2,
A02,0,0,0,1,0,1,701.101135253906,0,758.086486816406,0,324.588165283203,0,164.712615966797,0,1799.51477050781,0,580.956909179688,0,3,
A02,0,0,0,0,1,1,684.337036132813,0,772.470153808594,0,265.615112304688,0,141.902633666992,0,1569.38598632813,0,898.155944824219,0,4,
A02,0,0,0,1,1,1,650.282775878906,0,591.688781738281,0,248.169281005859,0,144.527236938477,0,1988.83190917969,0,915.014221191406,0,5,
A02,1,0,1,1,1,2,5238.84985351563,765.3260451272,696.109649658203,178.982476575913,996.229370117188,447.348273928409,80.2232398986816,4.28074413557144,2437.87817382813,708.53238855936,1101.060546875,409.05229597486,6,
A02,1,1,1,1,1,1,3567.80493164063,0,1348.95739746094,0,515.065368652344,0,42.6576232910156,0,1452.66381835938,0,888.704650878906,0,7,
A03,0,0,0,0,0,9544,582.030229208755,127.859053919665,635.873216870445,133.035754960943,274.795009199752,59.4917112544314,138.553399464086,44.469429474941,262.397136025137,99.6398205063466,358.333803624539,81.3189407849834,1,
A03,0,1,0,0,0,1,920.612060546875,0,2188.89135742188,0,331.789825439453,0,214.987930297852,0,284.196166992188,0,428.919403076172,0,2,
A03,0,0,1,0,0,1,836.401611328125,0,767.297973632813,0,2877.21264648438,0,161.635864257813,0,289.842346191406,0,462.32958984375,0,3,
A03,0,0,0,1,0,1,819.558532714844,0,744.602905273438,0,354.661651611328,0,116.034721374512,0,1791.71435546875,0,822.106994628906,0,4,
A03,1,1,1,1,1,1,5993.25390625,0,2564.02514648438,0,814.322021484375,0,215.881561279297,0,3064.28979492188,0,1925.55859375,0,5,
A04,0,0,0,0,0,10208,265.286985244871,69.9284044165493,563.607878891278,120.560519538301,1504.5546595116,286.30563689335,172.358783795435,62.1437428115512,211.325221857681,63.5531254502717,259.963248030145,64.5664288808166,1,
A04,1,0,0,0,0,2,2327.21264648438,354.13274859075,445.555541992188,100.503161864612,1395.78668212891,198.808613065675,198.538093566895,46.1695433402483,274.997894287109,174.595945873628,348.095558166504,157.438021838907,2,
A04,0,1,0,0,0,5,296.573321533203,125.288884625359,1572.67946777344,419.120678684613,1491.05314941406,268.522767077059,168.029689025879,52.2420073751509,197.857904052734,40.4428217872938,253.416461181641,74.515806358345,3,
A04,1,1,0,0,0,5,2312.23889160156,628.654435443435,1302.94096679688,121.328930906609,1357.05922851562,113.902133318125,119.902418518066,56.7171334624413,280.488519287109,138.589554061167,278.39743347168,19.0791926733146,4,
A04,0,0,0,1,0,7,320.356031145368,66.4388102024878,662.784694126674,93.3588792987314,1742.97848074777,202.674390185604,182.66639981951,80.5812748880219,1043.75628662109,69.9897522828514,502.259634835379,109.390172592487,5,
A04,1,0,0,1,0,1,2023.24365234375,0,450.712188720703,0,1516.65356445313,0,143.379592895508,0,998.811279296875,0,517.108215332031,0,6,
A04,1,1,0,1,0,1,1904.6064453125,0,1255.22546386719,0,1803.24853515625,0,24.1941928863525,0,1051.41186523438,0,356.638031005859,0,7,
A04,1,0,1,1,0,1,3792.2373046875,0,711.755493164063,0,7281.47705078125,0,363.345336914063,0,2622.01538085938,0,609.234802246094,0,8,
A04,0,0,0,0,1,3,276.526814778646,123.945905959318,629.756866455078,130.600213326779,1535.37072753906,461.787298689189,181.754641215007,116.582394523826,185.545021057129,156.183765544279,1347.83333333333,605.449130434803,9,
A04,1,1,0,1,1,1,2485.56762695313,0,1572.11840820313,0,2074.04760742188,0,286.772979736328,0,1212.64172363281,0,625.470642089844,0,10,
A04,1,0,1,1,1,2,3058.81213378906,611.759059595365,568.951675415039,114.428102976849,3775.22155761719,65.9541075273381,190.851936340332,38.617561779435,2081.89208984375,186.603684166818,1385.47741699219,205.737344563798,11,
A04,1,1,1,1,1,1,2997.71557617188,0,1649.16125488281,0,2641.1640625,0,280.916229248047,0,1657.54504394531,0,737.288024902344,0,12,
A05,0,0,0,0,0,11979,277.994329909648,61.7856286056759,598.964702942165,108.264688111726,1574.1145817793,255.433844616577,182.459092991949,61.8037766212178,217.282945182489,64.5724234077627,284.060761533801,62.6625788885773,1,
A05,0,1,0,0,0,1,295.011322021484,0,1740.41369628906,0,1657.4599609375,0,188.734848022461,0,228.518920898438,0,270.918182373047,0,2,
A05,0,0,0,1,0,4,374.669273376465,21.671860057269,638.589935302734,87.5275360186021,1891.35418701172,77.7442778899948,203.417984008789,80.2115667060083,1901.01943969727,524.487073129233,488.260101318359,137.726403527098,3,
A06,0,0,0,0,,6540,538.646399761048,93.6908742016368,648.314884827407,112.314581540799,281.840447526751,51.9630429116469,142.930331064802,41.7559492737238,-4.7887213238065,35.3819049337122,297.725560032556,56.2054370550512,1,
A06,1,0,0,0,,1,3757.57690429688,0,561.659362792969,0,243.720413208008,0,123.505706787109,0,22.101634979248,0,247.148849487305,0,2,
A06,0,1,0,0,,6,514.183603922526,91.502842888956,1521.31791178385,283.65989781437,259.570040384928,41.5270298692635,126.266756693522,26.0516815925425,6.47311703364054,34.4943717986435,263.096254984538,75.0104804857331,3,
A06,0,0,0,1,,2,614.265045166016,37.511574526543,710.292999267578,53.7853021865779,246.204231262207,2.91576888185229,130.182331085205,31.825324030326,-369.432281494141,7.62068969043058,3432.16479492188,127.145602291157,4,
A06,1,0,1,1,,1,4426.3447265625,0,659.078247070313,0,1307.17492675781,0,114.195823669434,0,-228.621963500977,0,2430.7587890625,0,5,
A06,1,1,1,1,,3,4030.75870768229,477.057770115417,1365.84220377604,77.8269503636656,671.312479654948,51.3331715218729,117.801122029622,63.7360913424582,-73.9231427510579,51.5405973723255,831.161112467448,53.5032041919687,6,
A07,0,0,0,0,,10174,276.571246330692,59.8146001201148,596.927627821439,103.520496316805,997.559592014356,197.18155788251,119.704249625972,51.4916822456379,1.15565736106317,34.2087025992652,256.094967903031,53.4239540177783,1,
A07,1,0,0,0,,4,4056.76281738281,271.872209762454,609.628059387207,151.710386164819,871.014465332031,125.433909557962,107.202512741089,43.7721379842735,31.217297077179,24.3092922186058,215.259212493896,43.5367772412405,2,
A07,0,1,0,0,,2,294.564598083496,63.5154976159935,1826.84399414063,108.455609967334,983.205871582031,32.2837576618026,76.7543201446533,83.8250807117113,-3.06786346435547,61.2326354827622,264.091522216797,29.4323702826868,3,
A07,1,1,0,0,,1,3143.44799804688,0,1583.38439941406,0,1325.12268066406,0,66.3309936523438,0,54.4928932189941,0,305.288055419922,0,4,
A07,1,0,1,0,,2,4291.30737304688,1407.22570390413,576.858245849609,123.166443470441,5278.63598632813,2342.726594346,73.0073738098145,12.7566169845232,36.1758167743683,52.6181416490581,232.516128540039,140.51824570571,5,
A07,0,0,0,1,,3,231.929951985677,36.1288361135522,507.494537353516,79.4225210049016,758.811116536458,85.4830566627409,112.054331461589,12.9944200406918,-148.400143941243,63.0964242767242,1759.06355794271,491.980895742114,6,
A07,0,0,1,1,,2,272.868896484375,60.2615181451051,565.25080871582,159.514187734846,4829.18444824219,1316.4368875565,1.70944595336914,24.454108616902,-265.491020202637,137.76244333292,1841.24554443359,647.296958571954,7,
A07,1,0,1,1,,1,5800.23583984375,0,859.461059570313,0,7890.02001953125,0,113.253662109375,0,-211.512069702148,0,3305.57397460938,0,8,
A07,1,1,1,1,,3,3707.18709309896,581.669981676515,1609.89790852865,295.035694836699,3278.01993815104,1495.03145680429,106.683081309001,64.3914758781332,-109.227584838867,31.882781950688,1206.97556559245,312.908543975121,9,
A08,0,0,0,0,,12378,294.643659990156,49.1505480584403,618.422804629828,77.5297776124768,1011.82444412347,158.442349547277,122.061931968528,49.739479339846,1.95213190998437,34.0059604942145,261.90775452671,44.3940969453401,1,
A08,1,0,0,0,,1,3760.02685546875,0,563.065673828125,0,846.87744140625,0,102.833953857422,0,3.24544191360474,0,236.815582275391,0,2,
A08,0,1,0,0,,2,392.429473876953,96.5632771632118,1383.27825927734,301.98854353275,1262.70004272461,548.484612281472,149.700347900391,11.6077249141968,-8.32241344451904,43.6078956513324,273.42138671875,4.81289226791871,3,
A08,1,0,1,0,,2,4013.66979980469,498.339200946439,636.159088134766,76.430845701155,4962.64575195313,833.827705088613,159.993179321289,28.0683067495946,-37.7639398574829,20.7340686208305,247.780326843262,54.9848136334903,4,
A08,0,0,1,1,,1,261.349884033203,0,565.708984375,0,4659.2529296875,0,21.5942440032959,0,-232.563049316406,0,2038.84265136719,0,5,
B01,0,0,0,0,0,7326,608.907715385285,130.346013019573,684.406255661123,144.321885689318,289.750186755623,67.1254930452321,150.416571376178,57.1691610729731,298.185471680267,120.473252768596,372.591452255686,87.9887221745542,1,
B01,0,1,0,0,0,2,726.167144775391,22.4531866466725,2001.59777832031,142.507738799323,341.240280151367,37.4530301937379,173.892929077148,41.8989036587263,278.26008605957,24.0991390921988,409.836898803711,38.6909849612888,2,
B01,0,0,0,1,0,2,551.162734985352,144.568097941196,678.074127197266,181.795625636662,247.433219909668,34.3536871728611,213.915618896484,34.1754970408528,1819.82421875,16.5331094810146,458.269378662109,55.051914113718,3,
B01,0,0,0,1,1,3,731.630391438802,72.3962791657814,683.531555175781,91.7834165929354,230.301279703776,113.553729012646,141.234113057454,22.9457275642887,2138.41809082031,194.983359606005,851.105448404948,33.7388452772459,4,
B01,0,0,1,1,1,1,552.775268554688,0,779.709899902344,0,1477.81262207031,0,146.498458862305,0,2876.28979492188,0,745.853576660156,0,5,
B01,1,0,1,1,1,1,3813.2880859375,0,550.675170898438,0,509.434936523438,0,67.698616027832,0,1971.34973144531,0,1369.60949707031,0,6,
B01,1,1,1,1,1,2,5922.765625,1567.4216428761,2124.09484863281,23.0118717835414,860.187805175781,352.295496657454,234.659042358398,115.462307066056,2664.96850585938,992.991295781408,1782.8669128418,1228.12091649949,7,
B02,0,0,0,0,0,10037,580.039171292414,116.300386180593,631.380119786648,124.036076876718,276.897672590298,55.5279528763382,137.823730469443,44.4247849937619,270.934526083751,105.156717788617,350.89901131986,76.3069991713243,1,
B02,0,1,0,0,0,7,718.024684361049,147.810227111415,1673.17923409598,459.49464323903,329.272218976702,68.1058488261352,170.066228594099,59.0045520570308,298.950810023717,78.3739848904382,401.740716116769,108.565100433305,2,
B02,0,0,1,0,0,1,550.194213867188,0,536.203674316406,0,1285.17553710938,0,189.330596923828,0,252.995880126953,0,309.422302246094,0,3,
B02,0,0,1,1,0,1,547.754028320313,0,591.222106933594,0,956.704895019531,0,120.819389343262,0,2615.57397460938,0,546.775451660156,0,4,
B02,1,0,0,0,1,1,3757.2158203125,0,559.01123046875,0,253.831954956055,0,56.1332969665527,0,69.0489883422852,0,2027.20300292969,0,5,
B02,1,0,1,0,1,1,4066.81811523438,0,662.880798339844,0,844.046508789063,0,197.109664916992,0,161.82194519043,0,1804.12316894531,0,6,
B02,1,0,1,1,1,2,5849.03833007813,590.96483764364,794.224945068359,249.823751930888,774.961517333984,153.760896101164,144.907295227051,17.4592342149493,2606.25244140625,179.043718307023,2569.16925048828,747.19495373211,7,
B02,1,1,1,1,1,3,6040.54541015625,285.60792916326,2100.23457845052,92.7009950276372,919.708679199219,151.493239694365,157.814727783203,36.7784374658512,2668.01416015625,239.061394281386,1879.66731770833,293.608716387503,8,
B03,0,0,0,0,0,10127,580.657072690864,130.576603118978,632.432698726419,136.747771324261,274.814428750414,61.6998278142196,138.115481574208,45.9516468904312,267.096930627304,100.315757249833,347.010002545311,81.4944223436952,1,
B03,0,0,0,1,0,1,526.026489257813,0,453.942993164063,0,211.569229125977,0,58.4030113220215,0,3050.3701171875,0,623.282165527344,0,2,
B04,0,0,0,0,0,10550,293.199688460364,69.2674372992435,604.941312869104,117.369996131598,1603.14592874102,279.158776163496,184.527226587387,63.2238244743224,229.014686097692,72.1173708093184,277.388479363681,64.3598966893911,1,
B04,0,1,0,0,0,4,348.696838378906,60.8493483668812,1759.8955078125,432.574096954827,1650.07376098633,260.249101882369,208.9196434021,80.2038350186556,217.904808044434,62.7182702360055,266.022716522217,45.4573267082299,2,
B04,1,1,0,0,0,1,1721.83288574219,0,1393.91882324219,0,1660.79992675781,0,114.863342285156,0,241.483963012695,0,405.366271972656,0,3,
B04,1,1,1,0,0,1,3630.26196289063,0,2000.259765625,0,6921.63671875,0,214.663391113281,0,463.739532470703,0,-213.304412841797,0,4,
B04,0,0,0,1,0,1,422.142639160156,0,599.89990234375,0,1615.45178222656,0,250.772247314453,0,1464.26013183594,0,436.236541748047,0,5,
B04,1,0,0,1,0,3,2827.64929199219,855.979337331997,552.260182698568,122.809850477894,1716.49731445313,459.624034807114,138.404296875,91.9505578715269,2028.74108886719,597.402510157218,482.299936930339,75.084078217285,6,
B04,1,0,1,1,0,2,2417.66064453125,306.267696203321,493.448669433594,120.474957862827,5577.9599609375,1073.2313426309,30.5617609024048,63.3211541142376,1954.48541259766,21.1340509797434,452.63655090332,7.1576219286666,7,
B04,0,0,0,0,1,5,297.165768432617,48.1814938826719,558.968170166016,105.418174051454,1534.61437988281,223.374495386424,197.933160400391,48.8847975358892,253.046022415161,446.09758520017,1343.38858642578,549.25794082527,8,
B04,0,0,0,1,1,1,304.245483398438,0,400.235198974609,0,1204.59753417969,0,51.2982368469238,0,2011.65966796875,0,2197.48168945313,0,9,
B04,1,0,1,1,1,5,3020.55498046875,442.895936630793,565.027868652344,158.861550224701,4635.11591796875,1097.09723174287,164.806558227539,96.1518996551881,2000.21625976562,272.206171186188,1249.63499755859,337.799323394228,10,
B04,1,1,1,1,1,1,3143.767578125,0,2008.17797851563,0,8728.4794921875,0,278.148895263672,0,1894.98779296875,0,2060.48510742188,0,11,
B05,0,0,0,0,0,12312,294.379362672703,69.8524081925059,620.816212766274,118.287154358556,1613.14700102233,279.212697203666,186.113986120344,63.4937081117774,226.00029837086,72.4223334349115,294.51224397668,66.6908425286349,1,
B05,1,0,0,0,0,1,1493.68212890625,0,482.862213134766,0,1238.75354003906,0,83.8378372192383,0,517.688659667969,0,223.195343017578,0,2,
B05,0,1,0,0,0,2,360.938079833984,20.3797289386314,2134.88610839844,34.1128958209974,1958.96691894531,0.153643807435554,245.374046325684,119.123421047462,279.303298950195,13.0477903419221,308.966812133789,42.2303168040346,3,
B05,1,1,0,0,0,1,2088.98852539063,0,1376.12158203125,0,1670.51342773438,0,66.3833999633789,0,468.467590332031,0,441.345916748047,0,4,
B05,0,0,0,1,0,1,300.459228515625,0,621.830627441406,0,1773.35375976563,0,252.650527954102,0,1758.13122558594,0,584.650939941406,0,5,
B05,0,0,0,0,1,1,334.545593261719,0,714.992431640625,0,1971.70336914063,0,241.182418823242,0,115.280044555664,0,1842.1865234375,0,6,
B05,0,1,0,0,1,1,295.041259765625,0,1792.25842285156,0,1620.45959472656,0,183.66682434082,0,130.706909179688,0,915.680541992188,0,7,
